Name,Comment,Likes
lukewhatidid,The fact that FIN never tried to sway any of the other kidnapped raised stormtroopers and just switched sides and started killing people he knew didn’t have a choice like him IS a huge character hole.,4
Morgan Evans,This movie was the best out of the 3 new ones ride of skywalker was absolute garbage,2
slooob23,The trailer was the only good thing about this monstrosity of a movie.,3
Uncle Shithole,Y am I here,2
Kaleb Diaz,Still love this film faults and all,1
Alejandro Mazariegos,👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,0
Alejandro Mazariegos,🤮🤮🤑🤑🤑🤡👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,0
Alejandro Mazariegos,Boring 😪,0
Matt James,I don&#39;t even care what this will do to me. I think this is the most enjoyable star wars film,14
Jeremy Bolduc,The only think a hated from this movie was the way disney has ruined luke skywalker but the rest was prelly good,2
Berat i,This episode destroyed episode 7 and 9,0
cheese cheese,what is this some kinda Star Was: The Last Jedi?,0
Sam Mckenzie,Something truely Special 😊🙏,1
Eduardo Tinajero,meh,0
S. Kyle Johnson,"None of the trolls or naysayers can steal my joy away from this movie--by far, easily, the best of the ST and the only one of them I can call truly great.",13
Kavy B,I’m glad people are realising now that this movie was the best of the sequals.,13
where am i,"I remember how hyped I was for this lol, so good",0
Croatoan,The Movie sucked,0
Steve Brooks,Anyone else just really trying to forget that the sequels exist?,3
Snixt,Where can I find the music for this trailer?,0
Desert eagle productions,Está es una de las secuelas que me gusto,1
Brykage 04,I love all the Star Wars Movies! ❤,2
RedStrider2099,&quot;This is not going to go the way you think.&quot;<br><br>We should have known what we were in for: a bloated boring cynical insistence on the director&#39;s own self-importance.,0
Xobik1,"One of the best trailers for the worst star wars episode ever made...<br>They didn&#39;t follow Star Wars basic rules to second movie in a trilogy (Time jumps between episodes to give a sense of evolution, create empaty between the public and the protagonists, reveal a great secret, let the protagonist fail and be saved by their friends).",1
derezzeduser1138 d,Breathtaking visuals and cinematography is what can achieve when youre confident with your script have time to plan your shots and storyboard your freaking scenes ahead of time. That way you don&#39;t get mistakes like Leia not hugging Chewie or crappy dogfights against old star destroyers and tie fighters in Exegol.,2
The Magic Of,Incredible trailer for a movie that single hand-idly did more disrespect to the lore and franchise than any other film in history.,4
Lomes,So much potential... wasted,1
Ignis Dragon,Nice 👍,1
frank 55,Cool trailer but sometimes I want to pretend this movie and episode 9 never happened so the mystery of the force awakens could still be preserved,6
Prince Drevan,"<b>I</b> <b>stand</b> <b>with</b> <b>Gina</b> <b>Carano!</b><br><a href=""http://www.youtube.com/results?search_query=%23firekathleenkennedy"">#FireKathleenKennedy</a> <a href=""http://www.youtube.com/results?search_query=%23firebobchapek"">#FireBobChapek</a> <a href=""http://www.youtube.com/results?search_query=%23canceldisneyplus"">#CancelDisneyPlus</a> <a href=""http://www.youtube.com/results?search_query=%23welcometotherebellion"">#WelcomeToTheRebellion</a>",1
Prince Drevan,"So Disney+ has now cancelled Gina Carano for the great sin of an Instagram post that they find inappropriate. From the same people who are constantly denigrating conservatives (I mean like on a regular basis). <br><br>But in any case, you know what&#39;s actually comparable to the Holocaust? The most comparable or one of the most comparable things happening on planet Earth right now to the holocaust? The rounding up of uyghur muslims in China, &amp; sending them to concentration camps &amp; then forcibly sterilizing the women, as reported by the associated press. <br><br>That is one of the most similar things you can have to the holocaust. <br><br>What would you say if I told you, that Disney+ in the credits to Mulan, thanked the zhanzhan government, which is the province in China where they are currently holding uighur muslims in concentration camps.<br>Disney+ THANKED the chinese government. <br><br>Now which seems more cancelable to you, working with a government that is forcibly sterilizing muslim women on the basis of their religion, or that Gina Carano put out a social media meme that included a holocaust comparison, just like Pedro Pascal did a couple of years ago?",3
DakotaTube 2,Not gonna lie I watch this trailer just to hide the pain of the actual movie. The Last Jedi<br>- amazing trailer<br>- incredible name<br>- terrible movie,11
Haaris Ajaz,Pain.,3
Brayden Tan,This is the worst star wars movie of all time,7
That One Guy,am i the only one who genuinely liked every star wars movie?,2
Vans Hayrapetyan,More then likes!,0
Bea Miralles,Mark Hamill&#39;s acting in this was stunning. I miss 2017.,264
Matúš Máca,I loved this movie so much!,6
Manan Agrawal,Luke knew how bad this film&#39;s impact will be he said it :This is not going to go the way you think it will,3
Reynaa Sandoval,Fulfill your destiny... Rey,0
Vkhani,"Good trailer, Sadly the movie was bad",1
Slade Wilson,"Look, it&#39;s okay to like the movie or think it&#39;s great. Every movie has a target audience. This one happen to be for people that are the dumbest of society and obviously kids. Got to sell those toys.",3
John Price,"Unpopular Opinion: I genuinely loved this film. ( I&#39;m being honest, not trying to start an argument )",2
flower_ girl,"&quot;raw, untamed power, and beyond that something truley special&quot;. that&#39;s thier way of undoing the jedi training and actually working to develop your powers",2
Selfthenics,Trash,1
Saif Ramiz,The worst Movie ever made.,4
cmeeds444,"Movie wasn’t the best but you have to admit, this trailer is amazing",3
Enrique Lopez,Disney I have a theory let&#39;s kill luke then well bring him back n the mandorlian that way fans won&#39;t hate us Who do we get to direct this movie Johnson Rian Johnson let him write this movie  that way Fans won&#39;t hate us  by the way May the force be with you,0
BonifiedYewis,"For ANY movie, whether it&#39;s good or bad, you can count on a good trailer behind it.",20
Yi_Hui Meng,May the forceB 519B with you,0
Rui Caetano,The VHS Boxes are sturdy,0
Sean,Feminist can do everything.,1
Dylan Jones,Still watching this trailer lol it’s so good,1
Bear376,Worst actress ever.,3
Lax S,I want to see Obi-wan Kenobi&#39;s High Ground,0
Geeta Dhumane,Well.I love it,1
Marshall Pjesky,"I wish I could go back to before I saw this movie, where I was excited for it.",1
Krocodockle,I hate every character in this movie. All of them.,1
Doom Slayer,"No, nooooooooooo",0
Fulcrum,I really love this movie ❤️,8
Mr.E,The Star Wars fanbase sucks honestly,15
OGOafGaming,Ganondorf in BOTW 2 be like..,0
Brian Moore,Fire K. K.,0
NeverAgain1985,Its Star Wars...whats not to like? Enjoy them,0
Hope,TLJ shows you Disney &amp; Lucasfilm never had a plan for the sequel trilogy. Can’t believe how they ruined this so badly just like WB is doing with DC right now 🤦🏼‍♂️,3
Richard Vèche,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=0m41s"">0:41</a> Her lightsaber sound is suiting the music",15
Jordan,Ahhhh the worst star wars movie in existence,4
SWORD,Star Wars Last Jedi The Abrams Cut,0
Big Mountain Studios,Rest in peace Carrie fisher,1
Lukas L,&quot;We are the spark that will light the fire that will bring the First Order down&quot;<br>Still one of my favourite Star Wars quotes!,255
Kal-El13,The only good thing I can say about this movie is that it made me appreciate the prequels.,2
drogon,most misunderstood movie of all time.,7
Frite,"Trailer: dramatic, interesting, sometimes nearly scary <br>Film: Rian Jhonson humor",5
Universal Juan,Wow,0
Gordon MacDonald,"<a href=""http://www.youtube.com/results?search_query=%23notmystarwars"">#NotMySTARWARS</a><br><a href=""http://www.youtube.com/results?search_query=%23selllucasfilm"">#SellLucasfilm</a><br><a href=""http://www.youtube.com/results?search_query=%23canceldisney"">#CancelDisney</a><br><a href=""http://www.youtube.com/results?search_query=%23welcometotherebellion"">#WelcomeToTheRebellion</a>",1
maia,i saw RAW!,0
VCR Time Machine,I love this movie! Forget the haters!,2
Matthew Duhn,"<a href=""http://www.youtube.com/results?search_query=%23releasethelucassequeltrilogy"">#releasetheLUCASsequeltrilogy</a><br>Long live the Lucas-Filoni-Favreau-verse!",3
Mike Rotonda,"HERE ME!!!   I WAS SENT FROM THE FUTURE,,,TO STOP THE RELEASE OF THE LAST JEDI!!   THIS WILL SPARK A FLAME THAT WILL START THE FIRE, THAT DIVIDES THE FANBASE, AND DESTROYS THE FUTURE OF THE STAR WARS FRANCHISE!!  HEED MY WARNING!!    DO NOT RELEASE THIS MOVIE... ...am I too late??",1
tom.,this is the empire strikes back of the sequels,3
Bagel cosmico,disney what did you do to my saga!!!!!!!!!,2
Arturo Castroverde,Still better than rise of skywalker,2
Jahlijah,this trilogy is so bad,6
Matthew Duhn,Star Wars in name only.,2
Valen,"Decided to review this again.<br>Sucked before, and sucks some more!",1
THE GAME SEPPPPY LOVER,I actually like this movie yes some of the issues I do agree with but you have to agree this was a fun movie,0
Eden wood,Definitely the worst star wars in the trilogy.,2
harrison Holt,"I will never be able to see this film again since when I saw it in the cinema, The movie that destroyed Luke Skywalker I understand that it is hard to please Star Wars fans and whatever they would have done would have received criticism but this film is so far off the mark it is unforgivable they destroyed Luke Skywalker‘s character completely everything he stood for in the original films  has been wiped away please stop making Star Wars films or give the rights to someone who can because you are ruining everything",0
Iker,best Star Wars,0
Futurist Media,The Sequel Trilogy trailers are better than the actual films,1
darth gengar,It&#39;s sad that the trailer was better than the movie,7
LucasBrien,disappointed at the amount of likes,0
Jamie McAteer,Me: Can i have star wars?<br>Mom: We have star wars at home<br>Star wars at home:,2
Ivaldo Filho,"I still rewatch this to remember how Star Wars used to make me fell. This trailer made me feel so good. And than, Star Wars died",2
kira klein lebbink,I wish it didn&#39;t..,0
Alexander Tsitokhtsev,who&#39;s here after 2020 happened?,1
Jonathan Hrovat,Whoever edited this trailer should have written the movie,1
Mr Schiltz ツ,"When I saw this trailer I thought that the last jedi was gonna be one of the, if not best star wars movie. When I left theaters I was wondering why I just watched a marvel movie...",4
Saumya art & craft,Trailer i will never forget,0
KAROL's Blue,it’s a new phase,0
KAROL's Blue,watching it repeatedly.. it’s a love or hate movie <br><br>your choice,0
Amitav Sarkar,I think they need to build a giant toilet and flush every copy of this excrement down it.,0
Michelangelo,Am I only one who likes this movie,2
Kieron Campion is a fucking idiot,This movie is great,1
Noah,"Great trailers, awful movie",0
McKenzie,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=0m52s"">0:52</a>",1
JOEY CAROMANO,The new star wars movies have such great trailer yet such underwhelming films,0
mcitaly07,Another example of Disney poisoning one of the greatest franchises ever.,1
Leonardo Fonseca,Só o trailer que presta pois esse ganha como o pior filme já feito de Star Wars em toda Saga.,1
Josiah McCord,Amazing trailer<br>Disappointing movie,7
Anthony Atkins,Best movie from the sequel trilogy. Idc what anyone says,4
Harrison Raska,"The last Jedi’s story wasn’t great, but the visuals and scenery is absolutely stunning.",1449
CyberAztec2001,Am i the only one who liked this movie?,6
iván darío,"Damned this is probably the best star wars directed film, with an excelent concept. If it wasn´t for Rian Johnson as Screenwriter, JJ Abrams sequel that instead of fixing it make it worse and Kathleen Kennedy as a producer. The sequels could have been huge films, just missed a good screenwriter like the one of episode 7 to write the other two films.  Saddly it was badly written and it didn&#39;t had unity and coherence with episode 7 and 9. What a way to screwed a trilogy, a movie and two directors career, miss Kennedy.",0
Andrew Parker,"Oh, what could have been...",3
Александр Бурмин,Feel like today what you want to be tomorrow.,0
Steven Baxter,It&#39;s time for the lock down to end,2
Bryan Talks Film's,"GOSH 2017, what a year. 👏",4
Dylan Jones,This trailer still makes me feel stuff. Such a masterpiece,16
Alejandro Jefferies,The best Star Wars movie of the new trilogy. Haters gonna hate...,12
Ems,Man back then we had no idea this would start a war.,5920
DustVIIIXI,and talk about subverting our expectations LMAO...RJ did that by completely going the opposite direction and making a really bad movie,3
DustVIIIXI,when the trailer is better than the movie itself,24
Olliec 14,Never before had I been so excited to see a movie to be so disappointed by the end.,3
Owen,"This film will be looked back on by many a fan as, Star Wars:The Last Straw",7
Owen,Fans be like:Star Wars:The Last Straw,5
Drake Ryden,"Thinking how hyped this trailer was until we saw it in theatres, 😂",1
Sr Paz,"What a trailer, and what a movie it was! I loved TLJ and will die on that hill",10
TheUpsideDownBrick,"unpopular opinion: this is the second best star wars movie ever made, only empire strikes back can top and and even then it’s really close",6
Dj vanier Vanier,By the way Rey my name is Andrew vanier,0
sds dgg,lil baby,0
I_am_a_noob,"Say what you will about this movie, it&#39;s the most original sequels movie.",7
Usman Beats GSP,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m00s"">1:00</a> best part",3
Adrian Atkins,One of the best trailers ever made and then we got the movie. Good job Disney on killing the franchise,6
CNB,"old movies: Garbage trailer, incredible movies<br>New movies: Incredible trailer, Garbage movies",2
Najdżel99,"smacznej kawusi życzę każdej osobie, która to czyta :)",1
Ace Hardware,"Ah yes, time when I thought this moive can be good.<br><br>Good times...",0
Jackson Ciha MOVIES,I like this movie. I feel as alone as Luke on that island. No wonder he was so grumpy lol,0
TheUpsideDownBrick,i miss when the fanbase wasn’t so divided and toxic,1
TheUpsideDownBrick,"the last great star wars movie, i know it’s an unpopular opinion but i absolutely LOVE this movie",3
Jacobo Alvarez,"I came back to this video, after 3 years, only for changing my &quot;Like&quot; to a &quot;Dislike&quot;",2
TheGamingPolitician,I wish I could watch this movie for the first time again,10
Reédfc s384,A TRAP !,1
Barry The Ball Bouncer,I&#39;ve just watched this. It is awful.,0
Kozsokár Gergő,This is the best Star Wars trailer ever made. I still get goosebumps.,0
ChampionGold,this movie was decent,0
Whyjah,Why wasn’t the movie as awesome as this trailer,0
Saumya art & craft,What a trailer i cant forget.....,0
JangoFett220,A great trailer for a fantastic movie!<br>Yeah that’s right fantastic movie big whoop! Wanna fight about it,2
Anthony Anguiano,This is we’re the Star Wars sequel trilogy fell apart for me and The Rise of Skywalker was left to pick up the pieces. That movie got a raw deal.,0
Katabellion,Luke tried to warn us guys...... We didn&#39;t listen.,0
Mortalfarmer,Trailer better than the film,0
ENK Archives,Just retcon the whole sequel trilogy and let it die quietly.,0
Epic_gamer_015,Adam driver acted SO WELL in this film,1253
Epic_gamer_015,This trailer is amazing like all of Disney’s trailers,0
Daniel Cowen,This movie was a dumpster fire,1
James Arnold,Trailer was better than the film. It’s so sad this film is what led to the downfall of the sequels,2
David,why would you do that,1
Tal Maizel,one of the perfect star wars movie,8
hi,cant wait for 2017,0
Connor gamer Thomas,This makes me think of my game what rp I could think off,0
shimaa,Who is the last jedi?,0
Ludwig Merza,If you love the characters or a logical story you will hate this movie,0
Pedro Santos,So much potential.... but it ruined everything,0
Vishal Tayya,People who are saying trailer is a masterpiece... Bruh there is no &quot;best trailer&quot; category in Oscar&#39;s ceremony....<br><br><br>The movie is sick tbh!,0
super gabelou,amv,0
Mickey J,Such lost potential.,2
Quint2597,best trailer of the series for the best movie of the series,0
Patrick Melville,Patrick aidan melville  saying something about star wars movies are  not your favorite movie or movies  that is not as good enough to watch at sdhs school of science and technology  for Patrick Aidan melville  am a former high school undergrad undergraduate senior  year  student now a para teacher educator and a teacher and teacher substitute instructor,1
computadora teros,the WORST star wars movie!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5
Ethan Somer,If only we knew,0
Jarred42501,"I come from the future, this movie is on that line between bad and god awful.",0
MarcDe,Ngl but that was the best sw movie ever,3
William,i cant wait for it to come out,0
JJ,awful film,2
ihatecorpsehusband,This movie was so dope,5
Justin DeSimone,ibp :o,0
Itzzy_,It’s been 3 years I can’t believe it,0
Jose de Jesús Lopez rubio,"What a shame, so much potential",3
AvengersInfinityWarFanatic // BlazeDaMovieReviewer,"This carved its lightsaber into the Star Wars community, cutting it in half.",11
Adam O'Connor,I still adore this film,6
aaaaaaaaaaa,Who the film love he comment  and who the film hate he give the comment a like,0
Yostin . J,2020 ?,3
S JN,"The best of the sequel trilogy. Yes it wasnt perfect and the whole Finn/Rose side story was a waste of time, and Luke&#39;s character could have been handled better (although his ending was perfect), but it was so much better than the other 2 which were just fan service. It was original for star wars, and tried something new. I wish they&#39;d continued on this route for the next one rather than bowing to criticism from fans who want to see the same film that was released 40 years ago",4
Patrick Melville,Not a fan nor not an expert  official fan of star wars movies  so super very sorry about this one subject,1
Andy Luce,sigh so much ruined potential,1
Foxwell,I remember wanting to cry after watching this because I knew the next movie couldn’t save this,7
Staright Shock apparel,Hi,0
Alejandro Villarreal,"While not the best SW movie, it IS the best sequel. And I can see much more love and care put by Rian in one scene of TLJ than by Abrams in his entire career. Dude´s a hack.",5
Srdjan Jankovic,Amazing movie,1
Eduardo C.,Puaj,0
Jack J,Man I can&#39;t believe this trailer came out 3 years ago now. I remember being SOOOOOO hyped after watching it for the first time.,20
Iván Marín,“this is not going to go the way you think” 🤯,1
Kareem Corrica,All of the trailers were better than the actual movies 😣,0
MovieDean123,One of the best Star Wars trailers ever,3
K1ll1n-Pr1ncess,Happy birthday to this masterpiece. Can&#39;t believe it&#39;s been 3 years already!,25
Gabriel Paz,"And here I am again... 3 years, omg! I miss that Star Wars vibe so much! ❤",50
starwrs34,It’s so disappointing. I was <b>SO</b> hyped for this movie. One of the best trailers I’ve ever seen. <br><br>Biggest let down of my life.,2
Arthur Paz,3 years ago...Wow.,3
Cinimodg02,"Almost 3 years since this amazing trailer came out, I don’t care what people say I still love this movie.",4
Echo Base,"I don&#39;t care, I love this movie. Top tier Star Wars for me",8
Lenny Rashel Rodriguez Reyes,starbomb,0
Aditya Rajpurohit,"Let the past die, kill it if you have to. It&#39;s the only way to become of you were meant to be.",0
GENERAL ABDEL,I love how the trailer is better than the actual movie ....,12
Ian Hines,"Awesome trailer but awful, awful movie",0
HawKeye,🤩🤩🤩,0
Cybercery,Only the trailers of the sequels were godly,0
myphuong488790 Roysbroveagyis Channel,news live,0
Coulboy 4756,"I never thought I would say a star wars movie was bad, then this came out.  It still hurts",2
checkm8,The only thing I will say what I really loved about the last jedi were the trailers. These were honestly pretty sick,4
CSBT Productions,Best Star Wars Film ever xd,1
colourful coffee,Unpopular opinion :The movie wasn&#39;t that bad.,35
Brian Clark,The main issue I have with the last Jedi that made no sense story wise was Poe leading a mutiny just because lea wasn’t in charge it made no sense to me story wise,0
Mr. Luka,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m45s"">1:45</a> Luke warned us beforehand!",1
Lxuis G,This movie is fantastic.,4
TheMarvelousCaptain,So why does people hate the movie,2
GroguWasTaken,The Rise of Skywalker makes this movie look like a masterpiece,1
The Romandalorian,Catfished by a trailer.,0
Mihir Vemuri,Easily one if the best star wars movies. I dont care what y&#39;all say,4
Ken A,The trailer is better than the movie.,2
Joey Jerry,"You know, I think I can finally understand why the reviews of this movie from critics were massively positive: They must have accidentally watched the trailer by mistake",6
Mx. Snrub,"Still confused how anyone watched the TLJ trailers and then was surprised about Luke’s characterization in the film. It’s pretty blunt that he’s not a fan of the Jedi anymore. Hell, even TFA establishes that he went to Ahch-To specifically to run away.",2
KaonPrime,"<a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m34s"">1:34</a> burn it to the ground",1
Red Jet 7059,This trailer will always be better than what disney and rian johnson fooled audiences with what we got in The Lazy Jedi. A pathetic movie and a disgrace,0
Luis Reynoso,Iam un liking this preview cus the movie sucked!,1
YukonYeti,I&#39;m just sad that Finn&#39;s great character potential got wasted,2
BLOCK PARTIZAN,disney made the sequels so they can make some badass trailers. The movies have nothing to do with what you’ve just seen,7
Samuel-Wan Kenobi,This movie would be better without luke and it&#39;s sad,1
jacopo tosi,When you figure out that the trailer is just the movie edited in a cool way,204
Patrick Melville,Like feels like love  or dislike  it is the same way to make you feel like  or him Patrick melville  says  is a pathetic way to the dark side,1
X-men 97,Boring movie,1
BOA Channel,And then Star Wars went garbage forever...,0
Daniel Medjedovic,I still think its a missed chance that they didnt make Rey turn to the dark side while Ben Solo begins his path towards the light.,0
Aster Overton,the killers,0
Ad e,terrible movie,0
Tarif Hassan,You had one job.,0
CrackedEggGaming,this trailer is better than the actual movie,0
Karan Ghag,STAR WARS &gt;&gt;&gt; Star Trek,0
MrGusta650,That was a good movie<br>But after 9 its is the great one,1
Not Kangaroo Monkey,Fun fact: the person who directed this also directed Ozmandias from breaking bad which is commonly believed to be the best episode of any show to have been made.,1
zach_47,Good trailer. Bad movie.,1
Richard Hirviniemi,Se on tärkeää kans mutta olis se voinu olla paljon parempi.,0
Casey Todd,This movie was basically: <br><br>Star Wars: We&#39;re almost out of gas.,7
Aye of Reach,Top 10 trailers better than the actual film.,0
TDR,"This kinda reminds me of that Harry Pot movie, I forget what it was called...hungerstrike of the rings or whatever? The one where Dumbledore does.",0
VíctorAM 018,This is the film when I saw the real Luke Skywalker,13
Cosmic Keyboard,Last Jedi why did you have to be bad 😭<br>DAMMIT DISNEY,1
Ricardo Castilho,Awful movie... awesome trailer.,0
M E,its amazing how terrible this movie was.. It almost ruined the Star Wars universe...,0
OwiBones,"honestly i still like the force awakens and the last jedi, if the rise of skywalker just kept going in the direction TLJ went it would have been a pretty good trilogy but TROS was just dissapointing instead",4
Wimble Womble,Can’t remember ever seeing such a great trailer for a very disappointing movie!!,2
justin,When the trailer is 100x better than the actual movie🤣,1
Promit Chaudhuri,There maybe controversies for how good the movie is..but there is none regarding the epicness of this trailer..,0
Burning pile,“This is not going to go the way you think...” well said..,0
George Darkrender,<b>Exists</b>,0
Griselda Rapi,"I love how there is no lightsaber sound in the end of the trailers for this movie. <a href=""https://www.youtube.com/watch?v=Q0CbN8sfihY&amp;t=1m49s"">1:49</a>  my favorite Carrie Fisher&#39;s acting moment.",3
Langford_artist,The movie might be the worst thing in Star Wars canon <br>But man is this trailer freaking amazing,1
Celestial Key,"It’s sad the trailer was better than the movie, complete unapologetic let down....😭",1
Aussieroth7,"Okay, the trailer was awesome... Too bad the movie was horrible to the point of betrayal.",1
abeer safi,nle choppa shotta flow 2,0
Veeru Senthil,Youtube recommended really out here trying to ruin my day with the most disappointing movie of all time,2
Swapna Devi,Ngl this was the best star wars incomplete movie,0
Swapna Devi,JOHN FREKIN WILLIAMS !!!!!,1
TSThinker13,This was more dark.... but not good enough,0
